CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
221705377,12/23/2008,21:00:00,,,25,12/26/2008,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,999449,230611,25-44,BLACK,M,,40.799645073,-73.945104921,"(40.799645073, -73.945104921)",PATROL BORO MAN NORTH,,25-44,BLACK,F
363681804,03/11/2006,21:00:00,,,14,03/12/2006,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,PARKING LOT/GARAGE (PRIVATE),N.Y. POLICE DEPT,0,NA,,NA,985533,213295,,,,,40.752130172,-73.995370749,"(40.752130172, -73.995370749)",PATROL BORO MAN SOUTH,,,UNKNOWN,M
901447453,10/31/2011,09:30:00,10/31/2011,15:30:00,13,10/31/2011,341,PETIT LARCENY,343,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,990457,208213,,,,,40.738179268,-73.977603369,"(40.738179268, -73.977603369)",PATROL BORO MAN SOUTH,,65+,WHITE,F
477708242,07/26/2009,02:00:00,07/26/2009,22:00:00,42,07/26/2009,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1014170,241448,45-64,WHITE,M,,40.82935201,-73.89188659,"(40.82935201, -73.89188659)",PATROL BORO BRONX,,,UNKNOWN,F
532224967,07/30/2010,17:15:00,07/30/2010,18:05:00,111,07/30/2010,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,NA,,NA,1056808,214666,,,,,40.75559561,-73.738105662,"(40.75559561, -73.738105662)",PATROL BORO QUEENS NORTH,,,UNKNOWN,D
775089405,01/13/2007,12:30:00,01/13/2007,18:30:00,113,01/13/2007,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1048905,187438,,,,,40.680922867,-73.766892673,"(40.680922867, -73.766892673)",PATROL BORO QUEENS SOUTH,,18-24,BLACK,M
972847072,10/20/2011,15:00:00,10/21/2011,19:00:00,101,10/23/2011,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1054076,157437,25-44,BLACK,M,,40.598537593,-73.748559596,"(40.598537593, -73.748559596)",PATROL BORO QUEENS SOUTH,,25-44,WHITE HISPANIC,F
416092718,02/02/2009,21:15:00,02/02/2009,21:20:00,45,02/02/2009,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,NA,,NA,1032671,256005,18-24,BLACK,M,,40.869224551,-73.824928896,"(40.869224551, -73.824928896)",PATROL BORO BRONX,,25-44,BLACK,M
928731774,11/11/2008,22:15:00,11/11/2008,23:31:00,5,11/11/2008,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,NA,,NA,986534,201425,,,,,40.719549745,-73.991761893,"(40.719549745, -73.991761893)",PATROL BORO MAN SOUTH,,25-44,BLACK,M
640415352,11/01/2009,14:20:00,11/01/2009,14:25:00,115,11/01/2009,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1018630,214603,45-64,WHITE,M,,40.755653558,-73.87590797,"(40.755653558, -73.87590797)",PATROL BORO QUEENS NORTH,,25-44,ASIAN / PACIFIC ISLANDER,M
